2024-01-15 08:00:01 INFO  Application starting up
2024-01-15 08:00:02 INFO  Loading configuration from /etc/app/config.yaml
2024-01-15 08:00:03 INFO  Database connection pool initialized (max=20)
2024-01-15 08:00:04 WARNING  Deprecated config key 'legacy_mode' found
2024-01-15 08:00:05 INFO  HTTP server listening on :8080
2024-01-15 08:00:10 INFO  Health check passed
2024-01-15 08:00:15 INFO  Worker pool started (workers=8)
2024-01-15 08:00:20 ERROR  Failed to connect to cache server at redis://cache:6379
2024-01-15 08:00:21 WARNING  Falling back to in-memory cache
2024-01-15 08:00:25 INFO  Request received: GET /api/v1/users
2024-01-15 08:00:26 INFO  Request completed: 200 OK (45ms)
2024-01-15 08:00:30 INFO  Request received: POST /api/v1/orders
2024-01-15 08:00:31 ERROR  Validation failed: missing required field 'email'
2024-01-15 08:00:32 INFO  Request completed: 400 Bad Request (12ms)
2024-01-15 08:00:35 INFO  Background job started: cleanup_expired_sessions
2024-01-15 08:00:40 INFO  Cleaned up 142 expired sessions
2024-01-15 08:00:45 WARNING  Slow query detected: SELECT * FROM orders WHERE status='pending' (2340ms)
2024-01-15 08:00:50 INFO  Request received: GET /api/v1/products?category=electronics
2024-01-15 08:00:51 INFO  Cache hit for products query
2024-01-15 08:00:52 INFO  Request completed: 200 OK (8ms)
2024-01-15 08:01:00 ERROR  Connection reset by peer: client 192.168.1.100:54321
2024-01-15 08:01:01 WARNING  Retrying request to upstream service (attempt 1/3)
2024-01-15 08:01:02 WARNING  Retrying request to upstream service (attempt 2/3)
2024-01-15 08:01:03 ERROR  Upstream service unavailable after 3 retries
2024-01-15 08:01:10 INFO  Request received: PUT /api/v1/users/42
2024-01-15 08:01:11 INFO  User profile updated successfully
2024-01-15 08:01:12 INFO  Request completed: 200 OK (67ms)
2024-01-15 08:01:15 INFO  Metrics snapshot: cpu=45% mem=62% goroutines=234
2024-01-15 08:01:20 INFO  Request received: DELETE /api/v1/sessions/expired
2024-01-15 08:01:21 INFO  Deleted 89 expired sessions
2024-01-15 08:01:22 INFO  Request completed: 200 OK (234ms)
2024-01-15 08:01:30 WARNING  Memory usage above 80% threshold
2024-01-15 08:01:31 INFO  Triggering garbage collection
2024-01-15 08:01:32 INFO  GC completed: freed 128MB
2024-01-15 08:01:35 INFO  Request received: GET /api/v1/reports/daily
2024-01-15 08:01:40 INFO  Generating daily report for 2024-01-14
2024-01-15 08:01:45 INFO  Report generation completed (5.2s)
2024-01-15 08:01:46 INFO  Request completed: 200 OK (10234ms)
2024-01-15 08:01:50 ERROR  Disk space critical: /var/log partition at 95%
2024-01-15 08:01:51 WARNING  Log rotation triggered early
2024-01-15 08:01:52 INFO  Old log files compressed and archived
2024-01-15 08:02:00 INFO  Request received: GET /api/v1/health
2024-01-15 08:02:01 INFO  All subsystems healthy
2024-01-15 08:02:02 INFO  Request completed: 200 OK (3ms)
2024-01-15 08:02:10 INFO  Scheduled task: database backup starting
2024-01-15 08:02:15 INFO  Database backup in progress: 45% complete
2024-01-15 08:02:20 INFO  Database backup in progress: 78% complete
2024-01-15 08:02:25 INFO  Database backup completed successfully (15.3s)
2024-01-15 08:02:30 ERROR  TLS certificate expires in 7 days
2024-01-15 08:02:31 WARNING  Please renew certificate for domain api.example.com
2024-01-15 08:02:35 INFO  Request received: POST /api/v1/auth/login
2024-01-15 08:02:36 ERROR  Authentication failed: invalid credentials for user admin@example.com
2024-01-15 08:02:37 INFO  Request completed: 401 Unauthorized (89ms)
2024-01-15 08:02:40 INFO  Rate limiter: 1523 requests in last minute
2024-01-15 08:02:45 WARNING  Rate limit approaching for IP 10.0.0.55 (450/500 req/min)
2024-01-15 08:02:50 INFO  Request received: GET /api/v1/search?q=laptop
2024-01-15 08:02:51 INFO  Search query executed: 342 results found
2024-01-15 08:02:52 INFO  Request completed: 200 OK (156ms)
2024-01-15 08:03:00 INFO  Websocket connection established: client_id=ws-7742
2024-01-15 08:03:05 INFO  Real-time notification sent to 45 subscribers
2024-01-15 08:03:10 ERROR  Websocket connection dropped: client_id=ws-7742 (timeout)
2024-01-15 08:03:15 INFO  Request received: PATCH /api/v1/settings
2024-01-15 08:03:16 INFO  Settings updated: theme=dark, notifications=enabled
2024-01-15 08:03:17 INFO  Request completed: 200 OK (23ms)
2024-01-15 08:03:20 INFO  Cron job: cleanup_temp_files started
2024-01-15 08:03:21 INFO  Removed 67 temporary files (450MB freed)
2024-01-15 08:03:25 WARNING  External API response slow: payment-gateway (3.2s)
2024-01-15 08:03:30 INFO  Request received: POST /api/v1/payments
2024-01-15 08:03:35 INFO  Payment processed: order_id=ORD-98765 amount=$149.99
2024-01-15 08:03:36 INFO  Request completed: 200 OK (5670ms)
2024-01-15 08:03:40 INFO  Queue depth: 23 pending jobs
2024-01-15 08:03:45 INFO  Processing batch job: send_weekly_newsletters
2024-01-15 08:03:50 INFO  Newsletters sent: 1245 recipients
2024-01-15 08:03:55 ERROR  Failed to send newsletter to 3 recipients (bounce)
2024-01-15 08:04:00 INFO  Request received: GET /api/v1/analytics/dashboard
2024-01-15 08:04:05 INFO  Analytics query: 50000 events aggregated
2024-01-15 08:04:06 INFO  Request completed: 200 OK (5432ms)
2024-01-15 08:04:10 INFO  Session stats: active=892 peak_today=1205
2024-01-15 08:04:15 WARNING  Config reload detected: watching /etc/app/config.yaml
2024-01-15 08:04:16 INFO  Configuration reloaded successfully
2024-01-15 08:04:20 INFO  Request received: GET /api/v1/users?page=2&limit=50
2024-01-15 08:04:21 INFO  Database query executed: 50 rows returned
2024-01-15 08:04:22 INFO  Request completed: 200 OK (34ms)
2024-01-15 08:04:25 ERROR  Panic recovered in handler: runtime error: index out of range [5] with length 3
2024-01-15 08:04:26 ERROR  Stack trace: goroutine 142 [running]: main.handleRequest()
2024-01-15 08:04:30 INFO  Request received: POST /api/v1/uploads
2024-01-15 08:04:35 INFO  File uploaded: report.pdf (2.3MB)
2024-01-15 08:04:36 INFO  Request completed: 201 Created (4567ms)
2024-01-15 08:04:40 INFO  Maintenance window approaching: 2024-01-15 10:00:00
2024-01-15 08:04:45 WARNING  New version available: v2.5.1 (current: v2.4.3)
2024-01-15 08:04:50 INFO  Request received: GET /api/v1/notifications
2024-01-15 08:04:51 INFO  12 unread notifications for user_id=42
2024-01-15 08:04:52 INFO  Request completed: 200 OK (19ms)
2024-01-15 08:05:00 INFO  Heartbeat: all systems nominal
